symbol,name,last_sale,market_cap,ipo_year,sector,sub_industry,nasdaq_url
QABA,First Trust NASDAQ ABA Community Bank Index Fund,48,218400000.0,,,,http://www.nasdaq.com/symbol/qaba
FTXO,First Trust Nasdaq Bank ETF,24.106,2410000.0,,,,http://www.nasdaq.com/symbol/ftxo
QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,14.8802,52080000.0,,,,http://www.nasdaq.com/symbol/qcln
GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index,39.61,15840000.0,,,,http://www.nasdaq.com/symbol/grid
CIBR,First Trust NASDAQ Cybersecurity ETF,20.0804,109440000.0,,,,http://www.nasdaq.com/symbol/cibr
FTXG,First Trust Nasdaq Food & Beverage ETF,19.2829,3860000.0,,,,http://www.nasdaq.com/symbol/ftxg
CARZ,First Trust NASDAQ Global Auto Index Fund,32.83,21340000.0,,,,http://www.nasdaq.com/symbol/carz
FTXN,First Trust Nasdaq Oil & Gas ETF,20,2000000.0,,,,http://www.nasdaq.com/symbol/ftxn
FTXH,First Trust Nasdaq Pharmaceuticals ETF,19.25,1930000.0,,,,http://www.nasdaq.com/symbol/ftxh
FTXD,First Trust Nasdaq Retail ETF,20.2292,2020000.0,,,,http://www.nasdaq.com/symbol/ftxd
RDVY,First Trust NASDAQ Rising Dividend Achievers ETF,24.02,39630000.0,,,,http://www.nasdaq.com/symbol/rdvy
FTXL,First Trust Nasdaq Semiconductor ETF,20.5628,5140000.0,,,,http://www.nasdaq.com/symbol/ftxl
FONE,First Trust NASDAQ Smartphone Index Fund,39.0765,9770000.0,,,,http://www.nasdaq.com/symbol/fone
TDIV,First Trust NASDAQ Technology Dividend Index Fund,28.36,571600000.0,,,,http://www.nasdaq.com/symbol/tdiv
FTXR,First Trust Nasdaq Transportation ETF,21.32,2130000.0,,,,http://www.nasdaq.com/symbol/ftxr
QQEW,First Trust NASDAQ-100 Equal Weighted Index Fund,45.29,387230000.0,,,,http://www.nasdaq.com/symbol/qqew
QQXT,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,40.19,112530000.0,,,,http://www.nasdaq.com/symbol/qqxt
QTEC,First Trust NASDAQ-100- Technology Index Fund,50.26,693590000.0,,,,http://www.nasdaq.com/symbol/qtec
AIRR,First Trust RBA American Industrial Renaissance ETF,22.54,25920000.0,,,,http://www.nasdaq.com/symbol/airr
QINC,First Trust RBA Quality Income ETF,22.42,23540000.0,,,,http://www.nasdaq.com/symbol/qinc
RFAP,First Trust RiverFront Dynamic Asia Pacific ETF,51.5,25750000.0,,,,http://www.nasdaq.com/symbol/rfap
RFDI,First Trust RiverFront Dynamic Developed International ETF,50.86,25430000.0,,,,http://www.nasdaq.com/symbol/rfdi
RFEM,First Trust RiverFront Dynamic Emerging Markets ETF,52.68,5270000.0,,,,http://www.nasdaq.com/symbol/rfem
RFEU,First Trust RiverFront Dynamic Europe ETF,50.39,25200000.0,,,,http://www.nasdaq.com/symbol/rfeu
FTSL,First Trust Senior Loan Fund ETF,48.1,601250000.0,,,,http://www.nasdaq.com/symbol/ftsl
FYX,First Trust Small Cap Core AlphaDEX Fund,51.83,479430000.0,,,,http://www.nasdaq.com/symbol/fyx
FYC,First Trust Small Cap Growth AlphaDEX Fund,33.98,69660000.0,,,,http://www.nasdaq.com/symbol/fyc
FYT,First Trust Small Cap Value AlphaDEX Fund,33.04,71040000.0,,,,http://www.nasdaq.com/symbol/fyt
FKO,First Trust South Korea AlphaDEX Fund,22.0639,18750000.0,,,,http://www.nasdaq.com/symbol/fko
FCVT,First Trust SSI Strategic Convertible Securities ETF,25.09,7530000.0,,,,http://www.nasdaq.com/symbol/fcvt
FDIV,First Trust Strategic Income ETF,49.67,19870000.0,,,,http://www.nasdaq.com/symbol/fdiv
FSZ,First Trust Switzerland AlphaDEX Fund,39.2501,111860000.0,,,,http://www.nasdaq.com/symbol/fsz
